time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
1080,relation_graph,temporal_relation,44,5,5,0,0.013164043426513672,5,0.7,3,2.5,0.2,2.0,0.1
1090,relation_graph,temporal_relation,44,2,2,0,0.013164758682250977,5,0.7,3,2.5,0.2,2.0,0.1
1100,relation_graph,temporal_relation,43,2,2,0,0.016611576080322266,5,0.7,3,2.5,0.2,2.0,0.1
1110,relation_graph,temporal_relation,44,3,3,0,0.0179445743560791,5,0.7,3,2.5,0.2,2.0,0.1
1120,relation_graph,temporal_relation,45,3,3,0,0.014004707336425781,5,0.7,3,2.5,0.2,2.0,0.1
1130,relation_graph,temporal_relation,45,2,1,1,0.029207944869995117,5,0.7,3,2.5,0.2,2.0,0.1
1140,relation_graph,temporal_relation,44,2,2,0,0.013105154037475586,5,0.7,3,2.5,0.2,2.0,0.1
1150,relation_graph,temporal_relation,47,3,3,0,0.015624761581420898,5,0.7,3,2.5,0.2,2.0,0.1
1160,relation_graph,temporal_relation,47,2,2,0,0.02117323875427246,5,0.7,3,2.5,0.2,2.0,0.1
1170,relation_graph,temporal_relation,44,2,2,0,0.013590812683105469,5,0.7,3,2.5,0.2,2.0,0.1
1180,relation_graph,temporal_relation,43,2,2,0,0.012842893600463867,5,0.7,3,2.5,0.2,2.0,0.1
1190,relation_graph,temporal_relation,43,3,3,0,0.012702226638793945,5,0.7,3,2.5,0.2,2.0,0.1
1200,relation_graph,temporal_relation,43,3,3,0,0.012702703475952148,5,0.7,3,2.5,0.2,2.0,0.1
1210,relation_graph,temporal_relation,41,3,3,0,0.011510133743286133,5,0.7,3,2.5,0.2,2.0,0.1
1220,relation_graph,temporal_relation,41,4,4,0,0.011514902114868164,5,0.7,3,2.5,0.2,2.0,0.1
1230,relation_graph,temporal_relation,40,3,3,0,0.01609945297241211,5,0.7,3,2.5,0.2,2.0,0.1
1240,relation_graph,temporal_relation,39,3,3,0,0.012900829315185547,5,0.7,3,2.5,0.2,2.0,0.1
1250,relation_graph,temporal_relation,39,4,4,0,0.010427236557006836,5,0.7,3,2.5,0.2,2.0,0.1
1260,relation_graph,temporal_relation,39,4,4,0,0.010324478149414062,5,0.7,3,2.5,0.2,2.0,0.1
1270,relation_graph,temporal_relation,38,3,3,0,0.009855270385742188,5,0.7,3,2.5,0.2,2.0,0.1
1280,relation_graph,temporal_relation,38,3,3,0,0.009922981262207031,5,0.7,3,2.5,0.2,2.0,0.1
1290,relation_graph,temporal_relation,38,3,3,0,0.010102272033691406,5,0.7,3,2.5,0.2,2.0,0.1
