time_step,method,feature_type,num_pedestrians,num_clusters,noise_ratio,runtime_sec,n_clusters_param,eps,min_samples
1870,kmeans,spatial_xy,44,3,0.0,0.008100032806396484,3,0.6,2
1880,kmeans,spatial_xy,44,3,0.0,0.009156227111816406,3,0.6,2
1890,kmeans,spatial_xy,44,3,0.0,0.008274316787719727,3,0.6,2
1900,kmeans,spatial_xy,44,3,0.0,0.008023977279663086,3,0.6,2
1910,kmeans,spatial_xy,46,3,0.0,0.008646965026855469,3,0.6,2
1920,kmeans,spatial_xy,46,3,0.0,0.008336067199707031,3,0.6,2
1930,kmeans,spatial_xy,46,3,0.0,0.008376359939575195,3,0.6,2
1940,kmeans,spatial_xy,44,3,0.0,0.008313894271850586,3,0.6,2
1950,kmeans,spatial_xy,42,3,0.0,0.007992267608642578,3,0.6,2
1960,kmeans,spatial_xy,42,3,0.0,0.008415460586547852,3,0.6,2
1970,kmeans,spatial_xy,42,3,0.0,0.008275270462036133,3,0.6,2
1980,kmeans,spatial_xy,43,3,0.0,0.008250236511230469,3,0.6,2
1990,kmeans,spatial_xy,42,3,0.0,0.00793910026550293,3,0.6,2
2000,kmeans,spatial_xy,41,3,0.0,0.007866144180297852,3,0.6,2
2010,kmeans,spatial_xy,47,3,0.0,0.0077991485595703125,3,0.6,2
2020,kmeans,spatial_xy,47,3,0.0,0.0076253414154052734,3,0.6,2
2030,kmeans,spatial_xy,47,3,0.0,0.007286548614501953,3,0.6,2
2040,kmeans,spatial_xy,47,3,0.0,0.0072422027587890625,3,0.6,2
2050,kmeans,spatial_xy,49,3,0.0,0.0074160099029541016,3,0.6,2
2060,kmeans,spatial_xy,47,3,0.0,0.00745844841003418,3,0.6,2
2070,kmeans,spatial_xy,47,3,0.0,0.0077970027923583984,3,0.6,2
2080,kmeans,spatial_xy,45,3,0.0,0.00786900520324707,3,0.6,2
2090,kmeans,spatial_xy,43,3,0.0,0.007334709167480469,3,0.6,2
2100,kmeans,spatial_xy,42,3,0.0,0.007949590682983398,3,0.6,2
2110,kmeans,spatial_xy,41,3,0.0,0.007302045822143555,3,0.6,2
2120,kmeans,spatial_xy,40,3,0.0,0.007666110992431641,3,0.6,2
2130,kmeans,spatial_xy,37,3,0.0,0.0074465274810791016,3,0.6,2
2140,kmeans,spatial_xy,38,3,0.0,0.007820606231689453,3,0.6,2
2150,kmeans,spatial_xy,38,3,0.0,0.00814056396484375,3,0.6,2
2160,kmeans,spatial_xy,34,3,0.0,0.007342100143432617,3,0.6,2
2170,kmeans,spatial_xy,34,3,0.0,0.0075685977935791016,3,0.6,2
2180,kmeans,spatial_xy,36,3,0.0,0.008553743362426758,3,0.6,2
2190,kmeans,spatial_xy,40,3,0.0,0.008088111877441406,3,0.6,2
2200,kmeans,spatial_xy,40,3,0.0,0.007368564605712891,3,0.6,2
2210,kmeans,spatial_xy,38,3,0.0,0.007766008377075195,3,0.6,2
2220,kmeans,spatial_xy,36,3,0.0,0.007353544235229492,3,0.6,2
2230,kmeans,spatial_xy,35,3,0.0,0.007748842239379883,3,0.6,2
2240,kmeans,spatial_xy,33,3,0.0,0.0077667236328125,3,0.6,2
2250,kmeans,spatial_xy,31,3,0.0,0.007180929183959961,3,0.6,2
2260,kmeans,spatial_xy,32,3,0.0,0.00751495361328125,3,0.6,2
2270,kmeans,spatial_xy,32,3,0.0,0.007116556167602539,3,0.6,2
2280,kmeans,spatial_xy,32,3,0.0,0.007131338119506836,3,0.6,2
2290,kmeans,spatial_xy,34,3,0.0,0.00773310661315918,3,0.6,2
2300,kmeans,spatial_xy,32,3,0.0,0.007901906967163086,3,0.6,2
2310,kmeans,spatial_xy,39,3,0.0,0.008086442947387695,3,0.6,2
2320,kmeans,spatial_xy,41,3,0.0,0.008251428604125977,3,0.6,2
2330,kmeans,spatial_xy,41,3,0.0,0.007668256759643555,3,0.6,2
2340,kmeans,spatial_xy,44,3,0.0,0.008397102355957031,3,0.6,2
2350,kmeans,spatial_xy,48,3,0.0,0.009150028228759766,3,0.6,2
2360,kmeans,spatial_xy,48,3,0.0,0.00817561149597168,3,0.6,2
2370,kmeans,spatial_xy,47,3,0.0,0.007983922958374023,3,0.6,2
2380,kmeans,spatial_xy,47,3,0.0,0.00824737548828125,3,0.6,2
2390,kmeans,spatial_xy,47,3,0.0,0.008099079132080078,3,0.6,2
2400,kmeans,spatial_xy,49,3,0.0,0.007742404937744141,3,0.6,2
2410,kmeans,spatial_xy,49,3,0.0,0.008456230163574219,3,0.6,2
2420,kmeans,spatial_xy,49,3,0.0,0.008341789245605469,3,0.6,2
2430,kmeans,spatial_xy,48,3,0.0,0.007812738418579102,3,0.6,2
2440,kmeans,spatial_xy,48,3,0.0,0.008155345916748047,3,0.6,2
2450,kmeans,spatial_xy,49,3,0.0,0.008614063262939453,3,0.6,2
2460,kmeans,spatial_xy,48,3,0.0,0.008342266082763672,3,0.6,2
2470,kmeans,spatial_xy,48,3,0.0,0.00832819938659668,3,0.6,2
2480,kmeans,spatial_xy,48,3,0.0,0.008705377578735352,3,0.6,2
2490,kmeans,spatial_xy,48,3,0.0,0.008674383163452148,3,0.6,2
2500,kmeans,spatial_xy,49,3,0.0,0.008355140686035156,3,0.6,2
2510,kmeans,spatial_xy,50,3,0.0,0.008016109466552734,3,0.6,2
2520,kmeans,spatial_xy,52,3,0.0,0.007978200912475586,3,0.6,2
2530,kmeans,spatial_xy,52,3,0.0,0.008650064468383789,3,0.6,2
2540,kmeans,spatial_xy,51,3,0.0,0.008211612701416016,3,0.6,2
2550,kmeans,spatial_xy,48,3,0.0,0.007952690124511719,3,0.6,2
2560,kmeans,spatial_xy,45,3,0.0,0.008269548416137695,3,0.6,2
2570,kmeans,spatial_xy,45,3,0.0,0.007849693298339844,3,0.6,2
2580,kmeans,spatial_xy,43,3,0.0,0.007890939712524414,3,0.6,2
2590,kmeans,spatial_xy,41,3,0.0,0.008251428604125977,3,0.6,2
2600,kmeans,spatial_xy,41,3,0.0,0.007668256759643555,3,0.6,2
2610,kmeans,spatial_xy,41,3,0.0,0.008502721786499023,3,0.6,2
2620,kmeans,spatial_xy,41,3,0.0,0.007821798324584961,3,0.6,2
2630,kmeans,spatial_xy,40,3,0.0,0.00786900520324707,3,0.6,2
2640,kmeans,spatial_xy,40,3,0.0,0.007565736770629883,3,0.6,2
2650,kmeans,spatial_xy,41,3,0.0,0.007837533950805664,3,0.6,2
2660,kmeans,spatial_xy,40,3,0.0,0.007917165756225586,3,0.6,2
2670,kmeans,spatial_xy,43,3,0.0,0.007931232452392578,3,0.6,2
2680,kmeans,spatial_xy,42,3,0.0,0.007924079895019531,3,0.6,2
2690,kmeans,spatial_xy,41,3,0.0,0.007730960845947266,3,0.6,2
2700,kmeans,spatial_xy,39,3,0.0,0.007554769515991211,3,0.6,2
2710,kmeans,spatial_xy,37,3,0.0,0.007466554641723633,3,0.6,2
2720,kmeans,spatial_xy,37,3,0.0,0.008084774017333984,3,0.6,2
2730,kmeans,spatial_xy,38,3,0.0,0.007515430450439453,3,0.6,2
2740,kmeans,spatial_xy,38,3,0.0,0.00728154182434082,3,0.6,2
2750,kmeans,spatial_xy,35,3,0.0,0.007760047912597656,3,0.6,2
2760,kmeans,spatial_xy,36,3,0.0,0.007689237594604492,3,0.6,2
2770,kmeans,spatial_xy,35,3,0.0,0.007619142532348633,3,0.6,2
2780,kmeans,spatial_xy,35,3,0.0,0.007444620132446289,3,0.6,2
2790,kmeans,spatial_xy,35,3,0.0,0.008283138275146484,3,0.6,2
2800,kmeans,spatial_xy,35,3,0.0,0.007340669631958008,3,0.6,2
2810,kmeans,spatial_xy,35,3,0.0,0.00716400146484375,3,0.6,2
2820,kmeans,spatial_xy,36,3,0.0,0.0076754093170166016,3,0.6,2
2830,kmeans,spatial_xy,38,3,0.0,0.00773310661315918,3,0.6,2
2840,kmeans,spatial_xy,37,3,0.0,0.007279396057128906,3,0.6,2
2850,kmeans,spatial_xy,37,3,0.0,0.0068721771240234375,3,0.6,2
2860,kmeans,spatial_xy,36,3,0.0,0.007011890411376953,3,0.6,2
2870,kmeans,spatial_xy,35,3,0.0,0.007018089294433594,3,0.6,2
2880,kmeans,spatial_xy,34,3,0.0,0.007040500640869141,3,0.6,2
2890,kmeans,spatial_xy,34,3,0.0,0.007020711898803711,3,0.6,2
