time_step,method,feature_type,num_pedestrians,num_clusters,noise_ratio,runtime_sec,n_clusters_param,eps,min_samples
240,dbscan,spatial_xy,37,4,0.05405405405405406,0.0008499622344970703,3,0.6,2
250,dbscan,spatial_xy,36,4,0.05555555555555555,0.0008444786071777344,3,0.6,2
260,dbscan,spatial_xy,37,5,0.02702702702702703,0.0008752346038818359,3,0.6,2
270,dbscan,spatial_xy,36,4,0.027777777777777776,0.0008406639099121094,3,0.6,2
280,dbscan,spatial_xy,35,4,0.02857142857142857,0.0008497238159179688,3,0.6,2
290,dbscan,spatial_xy,35,4,0.02857142857142857,0.0008559226989746094,3,0.6,2
300,dbscan,spatial_xy,35,3,0.05714285714285714,0.0008442401885986328,3,0.6,2
310,dbscan,spatial_xy,32,4,0.03125,0.0008423328399658203,3,0.6,2
320,dbscan,spatial_xy,33,4,0.06060606060606061,0.0008556842803955078,3,0.6,2
330,dbscan,spatial_xy,35,3,0.08571428571428572,0.0008487701416015625,3,0.6,2
340,dbscan,spatial_xy,36,3,0.08333333333333333,0.0008420944213867188,3,0.6,2
350,dbscan,spatial_xy,36,5,0.05555555555555555,0.0008597373962402344,3,0.6,2
360,dbscan,spatial_xy,36,4,0.027777777777777776,0.0009059906005859375,3,0.6,2
370,dbscan,spatial_xy,36,4,0.027777777777777776,0.0008280277252197266,3,0.6,2
380,dbscan,spatial_xy,36,6,0.0,0.0008480548858642578,3,0.6,2
390,dbscan,spatial_xy,36,6,0.027777777777777776,0.0008418560028076172,3,0.6,2
400,dbscan,spatial_xy,37,5,0.02702702702702703,0.0008499622344970703,3,0.6,2
410,dbscan,spatial_xy,37,4,0.0,0.0008690357208251953,3,0.6,2
420,dbscan,spatial_xy,37,5,0.02702702702702703,0.0008471012115478516,3,0.6,2
430,dbscan,spatial_xy,37,4,0.08108108108108109,0.0008556842803955078,3,0.6,2
440,dbscan,spatial_xy,37,3,0.08108108108108109,0.0009188652038574219,3,0.6,2
450,dbscan,spatial_xy,37,3,0.10810810810810811,0.0008335113525390625,3,0.6,2
460,dbscan,spatial_xy,38,3,0.10526315789473684,0.0008335113525390625,3,0.6,2
470,dbscan,spatial_xy,36,3,0.08333333333333333,0.0008428096771240234,3,0.6,2
480,dbscan,spatial_xy,36,4,0.05555555555555555,0.0008480548858642578,3,0.6,2
490,dbscan,spatial_xy,36,4,0.05555555555555555,0.0008411407470703125,3,0.6,2
500,dbscan,spatial_xy,37,5,0.05405405405405406,0.0008349418640136719,3,0.6,2
510,dbscan,spatial_xy,36,6,0.08333333333333333,0.0008478164672851562,3,0.6,2
520,dbscan,spatial_xy,36,5,0.05555555555555555,0.0008323192596435547,3,0.6,2
530,dbscan,spatial_xy,36,6,0.05555555555555555,0.0008287429809570312,3,0.6,2
540,dbscan,spatial_xy,37,6,0.05405405405405406,0.0008671283721923828,3,0.6,2
550,dbscan,spatial_xy,38,5,0.02631578947368421,0.0008420944213867188,3,0.6,2
560,dbscan,spatial_xy,38,5,0.05263157894736842,0.0008628368377685547,3,0.6,2
570,dbscan,spatial_xy,39,6,0.05128205128205128,0.0008556842803955078,3,0.6,2
580,dbscan,spatial_xy,39,6,0.07692307692307693,0.0008566379547119141,3,0.6,2
590,dbscan,spatial_xy,38,6,0.07894736842105263,0.0009036064147949219,3,0.6,2
600,dbscan,spatial_xy,37,6,0.10810810810810811,0.0008425712585449219,3,0.6,2
610,dbscan,spatial_xy,34,6,0.11764705882352941,0.0008499622344970703,3,0.6,2
620,dbscan,spatial_xy,35,5,0.11428571428571428,0.0008368492126464844,3,0.6,2
630,dbscan,spatial_xy,38,3,0.13157894736842105,0.0008361339569091797,3,0.6,2
640,dbscan,spatial_xy,37,4,0.10810810810810811,0.0008623600006103516,3,0.6,2
650,dbscan,spatial_xy,35,6,0.11428571428571428,0.0008420944213867188,3,0.6,2
660,dbscan,spatial_xy,35,4,0.14285714285714285,0.0008404254913330078,3,0.6,2
670,dbscan,spatial_xy,36,4,0.1388888888888889,0.0009081363677978516,3,0.6,2
680,dbscan,spatial_xy,35,4,0.14285714285714285,0.0008332729339599609,3,0.6,2
690,dbscan,spatial_xy,35,4,0.11428571428571428,0.0008447170257568359,3,0.6,2
