time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
800,dbscan_kmeans_fallback,window_velocity,45,4,0.15555555555555556,4,0.15555555555555556,0,0.0006518363952636719,1.0,2,5,0.7,1.0,0.5
810,dbscan_kmeans_fallback,window_velocity,47,4,0.10638297872340426,4,0.10638297872340426,0,0.0006778240203857422,1.0,2,5,0.7,1.0,0.5
820,dbscan_kmeans_fallback,window_velocity,46,5,0.10869565217391304,5,0.10869565217391304,0,0.0006515979766845703,1.0,2,5,0.7,1.0,0.5
830,dbscan_kmeans_fallback,window_velocity,44,3,0.11363636363636363,3,0.11363636363636363,0,0.0006651878356933594,1.0,2,5,0.7,1.0,0.5
840,dbscan_kmeans_fallback,window_velocity,42,3,0.09523809523809523,3,0.09523809523809523,0,0.000644683837890625,1.0,2,5,0.7,1.0,0.5
850,dbscan_kmeans_fallback,window_velocity,43,3,0.09302325581395349,3,0.09302325581395349,0,0.0006659030914306641,1.0,2,5,0.7,1.0,0.5
860,dbscan_kmeans_fallback,window_velocity,42,4,0.09523809523809523,4,0.09523809523809523,0,0.0006020069122314453,1.0,2,5,0.7,1.0,0.5
870,dbscan_kmeans_fallback,window_velocity,42,3,0.047619047619047616,3,0.047619047619047616,0,0.0005860328674316406,1.0,2,5,0.7,1.0,0.5
880,dbscan_kmeans_fallback,window_velocity,44,3,0.045454545454545456,3,0.045454545454545456,0,0.0006015300750732422,1.0,2,5,0.7,1.0,0.5
890,dbscan_kmeans_fallback,window_velocity,45,3,0.044444444444444446,3,0.044444444444444446,0,0.0005829334259033203,1.0,2,5,0.7,1.0,0.5
900,dbscan_kmeans_fallback,window_velocity,45,3,0.06666666666666667,3,0.06666666666666667,0,0.0005939006805419922,1.0,2,5,0.7,1.0,0.5
910,dbscan_kmeans_fallback,window_velocity,46,3,0.06521739130434782,3,0.06521739130434782,0,0.0006415843963623047,1.0,2,5,0.7,1.0,0.5
920,dbscan_kmeans_fallback,window_velocity,46,3,0.10869565217391304,3,0.10869565217391304,0,0.0005900859832763672,1.0,2,5,0.7,1.0,0.5
930,dbscan_kmeans_fallback,window_velocity,45,2,0.0,1,0.1111111111111111,1,0.0037539005279541016,1.0,2,5,0.7,1.0,0.5
940,dbscan_kmeans_fallback,window_velocity,48,2,0.0625,2,0.0625,0,0.0006175041198730469,1.0,2,5,0.7,1.0,0.5
950,dbscan_kmeans_fallback,window_velocity,49,2,0.0,1,0.10204081632653061,1,0.0037512779235839844,1.0,2,5,0.7,1.0,0.5
960,dbscan_kmeans_fallback,window_velocity,48,2,0.0625,2,0.0625,0,0.000621795654296875,1.0,2,5,0.7,1.0,0.5
970,dbscan_kmeans_fallback,window_velocity,50,3,0.04,3,0.04,0,0.0006444454193115234,1.0,2,5,0.7,1.0,0.5
980,dbscan_kmeans_fallback,window_velocity,51,3,0.0392156862745098,3,0.0392156862745098,0,0.0005965232849121094,1.0,2,5,0.7,1.0,0.5
990,dbscan_kmeans_fallback,window_velocity,50,3,0.06,3,0.06,0,0.0006046295166015625,1.0,2,5,0.7,1.0,0.5
1000,dbscan_kmeans_fallback,window_velocity,50,4,0.08,4,0.08,0,0.0005881786346435547,1.0,2,5,0.7,1.0,0.5
1010,dbscan_kmeans_fallback,window_velocity,49,3,0.08163265306122448,3,0.08163265306122448,0,0.0006008148193359375,1.0,2,5,0.7,1.0,0.5
1020,dbscan_kmeans_fallback,window_velocity,49,4,0.08163265306122448,4,0.08163265306122448,0,0.0005905628204345703,1.0,2,5,0.7,1.0,0.5
1030,dbscan_kmeans_fallback,window_velocity,48,4,0.0625,4,0.0625,0,0.0010230541229248047,1.0,2,5,0.7,1.0,0.5
1040,dbscan_kmeans_fallback,window_velocity,48,5,0.020833333333333332,5,0.020833333333333332,0,0.0006051063537597656,1.0,2,5,0.7,1.0,0.5
1050,dbscan_kmeans_fallback,window_velocity,45,6,0.044444444444444446,6,0.044444444444444446,0,0.000606536865234375,1.0,2,5,0.7,1.0,0.5
1060,dbscan_kmeans_fallback,window_velocity,45,5,0.06666666666666667,5,0.06666666666666667,0,0.0006043910980224609,1.0,2,5,0.7,1.0,0.5
